[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
TokenMonster vocab loaded successfully, bpb metrics enabled
Downloading (incomplete total...): 0.00B [00:00, ?B/s]                                                                                                                 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:02<00:00,  1.74it/s]
Download complete: : 812MB [00:02, 834MB/s]              logs/d4d32bf6-4846-41b2-8730-d6f4dc1a401f.txt                                    | 1/4 [00:02<00:06,  2.30s/it]
Download complete: : 812MB [00:06, 118MB/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss[approx]:10.1720npt val_loss[exact]:3.2174bpb val_acc:0.03% train_time:0ms step_avg:0.05ms
step:104/1530 train_time:33077ms step_avg:318.05ms
step:105/1530 train_time:33397ms step_avg:318.07ms
step:106/1530 train_time:33715ms step_avg:318.07ms
step:107/1530 train_time:34034ms step_avg:318.07ms
step:108/1530 train_time:34351ms step_avg:318.06ms
step:109/1530 train_time:34669ms step_avg:318.06ms
step:110/1530 train_time:34987ms step_avg:318.06ms
step:111/1530 train_time:35306ms step_avg:318.07ms
step:112/1530 train_time:35624ms step_avg:318.07ms
step:113/1530 train_time:35943ms step_avg:318.08ms
step:114/1530 train_time:36262ms step_avg:318.09ms
step:115/1530 train_time:36582ms step_avg:318.10ms
step:116/1530 train_time:36901ms step_avg:318.11ms
step:117/1530 train_time:37221ms step_avg:318.12ms
step:118/1530 train_time:37540ms step_avg:318.13ms
step:119/1530 train_time:37861ms step_avg:318.16ms
step:120/1530 train_time:38180ms step_avg:318.16ms
step:121/1530 train_time:38500ms step_avg:318.18ms
step:122/1530 train_time:38819ms step_avg:318.19ms
step:123/1530 train_time:39139ms step_avg:318.20ms
step:124/1530 train_time:39458ms step_avg:318.21ms
step:125/1530 train_time:39777ms step_avg:318.22ms
step:126/1530 train_time:40097ms step_avg:318.23ms
step:127/1530 train_time:40415ms step_avg:318.23ms
step:128/1530 train_time:40733ms step_avg:318.22ms
step:129/1530 train_time:41052ms step_avg:318.23ms
step:130/1530 train_time:41369ms step_avg:318.22ms
step:131/1530 train_time:41687ms step_avg:318.22ms
step:132/1530 train_time:42007ms step_avg:318.23ms
step:133/1530 train_time:42326ms step_avg:318.24ms
step:134/1530 train_time:42643ms step_avg:318.23ms
step:135/1530 train_time:42964ms step_avg:318.25ms
step:136/1530 train_time:43283ms step_avg:318.26ms
step:137/1530 train_time:43602ms step_avg:318.26ms
step:138/1530 train_time:43923ms step_avg:318.28ms
step:139/1530 train_time:44243ms step_avg:318.30ms
step:140/1530 train_time:44562ms step_avg:318.30ms
step:141/1530 train_time:44882ms step_avg:318.32ms
step:142/1530 train_time:45203ms step_avg:318.33ms
step:143/1530 train_time:45523ms step_avg:318.34ms
step:144/1530 train_time:45841ms step_avg:318.34ms
step:145/1530 train_time:46162ms step_avg:318.36ms
step:146/1530 train_time:46482ms step_avg:318.37ms
step:147/1530 train_time:46802ms step_avg:318.38ms
step:148/1530 train_time:47121ms step_avg:318.39ms
step:149/1530 train_time:47442ms step_avg:318.40ms
step:150/1530 train_time:47761ms step_avg:318.40ms
step:151/1530 train_time:48081ms step_avg:318.42ms
step:152/1530 train_time:48402ms step_avg:318.44ms
step:153/1530 train_time:48721ms step_avg:318.44ms
step:154/1530 train_time:49042ms step_avg:318.45ms
step:155/1530 train_time:49362ms step_avg:318.46ms
step:156/1530 train_time:49681ms step_avg:318.47ms
step:157/1530 train_time:50002ms step_avg:318.49ms
step:158/1530 train_time:50322ms step_avg:318.49ms
step:159/1530 train_time:50641ms step_avg:318.50ms
step:160/1530 train_time:50962ms step_avg:318.51ms
step:161/1530 train_time:51283ms step_avg:318.53ms
step:162/1530 train_time:51602ms step_avg:318.53ms
step:163/1530 train_time:51922ms step_avg:318.54ms
step:164/1530 train_time:52243ms step_avg:318.55ms
step:165/1530 train_time:52563ms step_avg:318.56ms
step:166/1530 train_time:52883ms step_avg:318.57ms
step:167/1530 train_time:53203ms step_avg:318.58ms
step:168/1530 train_time:53523ms step_avg:318.59ms
step:169/1530 train_time:53843ms step_avg:318.60ms
step:170/1530 train_time:54164ms step_avg:318.61ms
step:171/1530 train_time:54484ms step_avg:318.62ms
step:172/1530 train_time:54803ms step_avg:318.62ms
step:173/1530 train_time:55124ms step_avg:318.64ms
step:174/1530 train_time:55444ms step_avg:318.65ms
step:175/1530 train_time:55765ms step_avg:318.66ms
step:176/1530 train_time:56084ms step_avg:318.66ms
step:177/1530 train_time:56405ms step_avg:318.67ms
step:178/1530 train_time:56726ms step_avg:318.68ms
step:179/1530 train_time:57046ms step_avg:318.69ms
step:180/1530 train_time:57365ms step_avg:318.69ms
step:181/1530 train_time:57686ms step_avg:318.71ms
step:182/1530 train_time:58005ms step_avg:318.71ms
step:183/1530 train_time:58325ms step_avg:318.72ms
step:184/1530 train_time:58645ms step_avg:318.72ms
step:185/1530 train_time:58965ms step_avg:318.73ms
step:186/1530 train_time:59285ms step_avg:318.74ms
step:187/1530 train_time:59606ms step_avg:318.75ms
step:188/1530 train_time:59925ms step_avg:318.75ms
step:189/1530 train_time:60246ms step_avg:318.76ms
step:190/1530 train_time:60566ms step_avg:318.77ms
step:191/1530 train_time:60886ms step_avg:318.77ms
step:192/1530 train_time:61206ms step_avg:318.78ms
step:193/1530 train_time:61527ms step_avg:318.79ms
step:194/1530 train_time:61846ms step_avg:318.79ms
step:195/1530 train_time:62167ms step_avg:318.81ms
step:196/1530 train_time:62486ms step_avg:318.80ms
step:197/1530 train_time:62807ms step_avg:318.82ms
step:198/1530 train_time:63127ms step_avg:318.82ms
step:199/1530 train_time:63447ms step_avg:318.83ms
step:200/1530 train_time:63767ms step_avg:318.84ms
step:201/1530 train_time:64088ms step_avg:318.85ms
step:202/1530 train_time:64408ms step_avg:318.85ms
step:203/1530 train_time:64728ms step_avg:318.86ms
step:204/1530 train_time:65047ms step_avg:318.86ms
step:205/1530 train_time:65368ms step_avg:318.87ms
step:206/1530 train_time:65686ms step_avg:318.87ms
step:207/1530 train_time:66007ms step_avg:318.88ms
step:208/1530 train_time:66327ms step_avg:318.88ms
step:209/1530 train_time:66647ms step_avg:318.89ms
step:210/1530 train_time:66967ms step_avg:318.89ms
step:211/1530 train_time:67287ms step_avg:318.90ms
step:212/1530 train_time:67606ms step_avg:318.90ms
step:213/1530 train_time:67928ms step_avg:318.91ms
step:214/1530 train_time:68247ms step_avg:318.91ms
step:215/1530 train_time:68568ms step_avg:318.92ms
step:216/1530 train_time:68887ms step_avg:318.92ms
step:217/1530 train_time:69207ms step_avg:318.93ms
step:218/1530 train_time:69527ms step_avg:318.93ms
step:219/1530 train_time:69847ms step_avg:318.94ms
step:220/1530 train_time:70166ms step_avg:318.94ms
step:221/1530 train_time:70487ms step_avg:318.95ms
step:222/1530 train_time:70807ms step_avg:318.95ms
step:223/1530 train_time:71127ms step_avg:318.95ms
step:224/1530 train_time:71447ms step_avg:318.96ms
step:225/1530 train_time:71766ms step_avg:318.96ms
step:226/1530 train_time:72086ms step_avg:318.97ms
step:227/1530 train_time:72407ms step_avg:318.97ms
