[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
TokenMonster vocab loaded successfully, bpb metrics enabled
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  2.12it/s]
Download complete: : 812MB [00:01, 468MB/s]                                                                                                                             logs/876ebdc1-3d37-4252-ba6b-e609379d77ea.txt
Download complete: : 812MB [00:05, 143MB/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss[approx]:10.1716npt val_loss[exact]:3.2172bpb val_acc:0.03% train_time:0ms step_avg:0.04ms
step:109/1530 train_time:35079ms step_avg:321.82ms
step:110/1530 train_time:35402ms step_avg:321.84ms
step:111/1530 train_time:35725ms step_avg:321.85ms
step:112/1530 train_time:36047ms step_avg:321.85ms
step:113/1530 train_time:36371ms step_avg:321.87ms
step:114/1530 train_time:36695ms step_avg:321.89ms
step:115/1530 train_time:37020ms step_avg:321.91ms
step:116/1530 train_time:37344ms step_avg:321.93ms
step:117/1530 train_time:37667ms step_avg:321.94ms
step:118/1530 train_time:37990ms step_avg:321.95ms
step:119/1530 train_time:38315ms step_avg:321.97ms
step:120/1530 train_time:38640ms step_avg:322.00ms
step:121/1530 train_time:38964ms step_avg:322.02ms
step:122/1530 train_time:39286ms step_avg:322.02ms
step:123/1530 train_time:39611ms step_avg:322.04ms
step:124/1530 train_time:39935ms step_avg:322.06ms
step:125/1530 train_time:40260ms step_avg:322.08ms
step:126/1530 train_time:40583ms step_avg:322.09ms
step:127/1530 train_time:40907ms step_avg:322.10ms
step:128/1530 train_time:41230ms step_avg:322.11ms
step:129/1530 train_time:41555ms step_avg:322.13ms
step:130/1530 train_time:41880ms step_avg:322.15ms
step:131/1530 train_time:42205ms step_avg:322.18ms
step:132/1530 train_time:42527ms step_avg:322.17ms
step:133/1530 train_time:42852ms step_avg:322.20ms
step:134/1530 train_time:43176ms step_avg:322.21ms
step:135/1530 train_time:43501ms step_avg:322.23ms
step:136/1530 train_time:43823ms step_avg:322.23ms
step:137/1530 train_time:44147ms step_avg:322.24ms
step:138/1530 train_time:44470ms step_avg:322.24ms
step:139/1530 train_time:44793ms step_avg:322.26ms
step:140/1530 train_time:45119ms step_avg:322.28ms
step:141/1530 train_time:45444ms step_avg:322.29ms
step:142/1530 train_time:45765ms step_avg:322.29ms
step:143/1530 train_time:46089ms step_avg:322.30ms
step:144/1530 train_time:46414ms step_avg:322.32ms
step:145/1530 train_time:46739ms step_avg:322.34ms
step:146/1530 train_time:47063ms step_avg:322.35ms
step:147/1530 train_time:47387ms step_avg:322.36ms
step:148/1530 train_time:47709ms step_avg:322.36ms
step:149/1530 train_time:48034ms step_avg:322.37ms
step:150/1530 train_time:48360ms step_avg:322.40ms
step:151/1530 train_time:48683ms step_avg:322.41ms
step:152/1530 train_time:49005ms step_avg:322.40ms
step:153/1530 train_time:49330ms step_avg:322.42ms
step:154/1530 train_time:49654ms step_avg:322.43ms
step:155/1530 train_time:49980ms step_avg:322.45ms
step:156/1530 train_time:50304ms step_avg:322.46ms
step:157/1530 train_time:50628ms step_avg:322.47ms
step:158/1530 train_time:50951ms step_avg:322.48ms
step:159/1530 train_time:51276ms step_avg:322.49ms
step:160/1530 train_time:51601ms step_avg:322.51ms
step:161/1530 train_time:51925ms step_avg:322.52ms
step:162/1530 train_time:52247ms step_avg:322.51ms
step:163/1530 train_time:52574ms step_avg:322.54ms
step:164/1530 train_time:52899ms step_avg:322.56ms
step:165/1530 train_time:53224ms step_avg:322.57ms
step:166/1530 train_time:53546ms step_avg:322.57ms
step:167/1530 train_time:53872ms step_avg:322.59ms
step:168/1530 train_time:54197ms step_avg:322.60ms
step:169/1530 train_time:54522ms step_avg:322.61ms
step:170/1530 train_time:54846ms step_avg:322.62ms
step:171/1530 train_time:55170ms step_avg:322.63ms
step:172/1530 train_time:55494ms step_avg:322.64ms
step:173/1530 train_time:55819ms step_avg:322.66ms
step:174/1530 train_time:56144ms step_avg:322.67ms
step:175/1530 train_time:56467ms step_avg:322.67ms
step:176/1530 train_time:56791ms step_avg:322.67ms
step:177/1530 train_time:57115ms step_avg:322.68ms
step:178/1530 train_time:57440ms step_avg:322.70ms
step:179/1530 train_time:57765ms step_avg:322.71ms
step:180/1530 train_time:58087ms step_avg:322.71ms
step:181/1530 train_time:58414ms step_avg:322.73ms
step:182/1530 train_time:58739ms step_avg:322.74ms
step:183/1530 train_time:59064ms step_avg:322.76ms
step:184/1530 train_time:59387ms step_avg:322.75ms
step:185/1530 train_time:59712ms step_avg:322.77ms
step:186/1530 train_time:60040ms step_avg:322.79ms
step:187/1530 train_time:60363ms step_avg:322.80ms
step:188/1530 train_time:60686ms step_avg:322.80ms
step:189/1530 train_time:61013ms step_avg:322.82ms
step:190/1530 train_time:61337ms step_avg:322.83ms
step:191/1530 train_time:61662ms step_avg:322.84ms
step:192/1530 train_time:61986ms step_avg:322.84ms
step:193/1530 train_time:62310ms step_avg:322.85ms
step:194/1530 train_time:62634ms step_avg:322.86ms
step:195/1530 train_time:62960ms step_avg:322.87ms
step:196/1530 train_time:63284ms step_avg:322.88ms
step:197/1530 train_time:63607ms step_avg:322.88ms
step:198/1530 train_time:63931ms step_avg:322.88ms
step:199/1530 train_time:64256ms step_avg:322.89ms
step:200/1530 train_time:64580ms step_avg:322.90ms
step:201/1530 train_time:64905ms step_avg:322.91ms
step:202/1530 train_time:65227ms step_avg:322.91ms
step:203/1530 train_time:65554ms step_avg:322.92ms
step:204/1530 train_time:65879ms step_avg:322.94ms
step:205/1530 train_time:66203ms step_avg:322.94ms
step:206/1530 train_time:66526ms step_avg:322.94ms
step:207/1530 train_time:66852ms step_avg:322.96ms
step:208/1530 train_time:67176ms step_avg:322.96ms
step:209/1530 train_time:67501ms step_avg:322.97ms
step:210/1530 train_time:67825ms step_avg:322.98ms
step:211/1530 train_time:68149ms step_avg:322.98ms
step:212/1530 train_time:68472ms step_avg:322.98ms
step:213/1530 train_time:68798ms step_avg:323.00ms
step:214/1530 train_time:69123ms step_avg:323.00ms
step:215/1530 train_time:69445ms step_avg:323.00ms
step:216/1530 train_time:69768ms step_avg:323.00ms
step:217/1530 train_time:70094ms step_avg:323.01ms
step:218/1530 train_time:70418ms step_avg:323.02ms
step:219/1530 train_time:70743ms step_avg:323.03ms
step:220/1530 train_time:71066ms step_avg:323.03ms
step:221/1530 train_time:71389ms step_avg:323.03ms
step:222/1530 train_time:71715ms step_avg:323.04ms
step:223/1530 train_time:72040ms step_avg:323.05ms
step:224/1530 train_time:72363ms step_avg:323.05ms
step:225/1530 train_time:72686ms step_avg:323.05ms
step:226/1530 train_time:73010ms step_avg:323.05ms
step:227/1530 train_time:73334ms step_avg:323.06ms
step:228/1530 train_time:73658ms step_avg:323.06ms
step:229/1530 train_time:73982ms step_avg:323.07ms
step:230/1530 train_time:74307ms step_avg:323.07ms
step:231/1530 train_time:74629ms step_avg:323.07ms
step:232/1530 train_time:74953ms step_avg:323.07ms
step:233/1530 train_time:75278ms step_avg:323.08ms
step:234/1530 train_time:75601ms step_avg:323.08ms
step:235/1530 train_time:75925ms step_avg:323.09ms
step:236/1530 train_time:76248ms step_avg:323.08ms
step:237/1530 train_time:76572ms step_avg:323.09ms
step:238/1530 train_time:76895ms step_avg:323.09ms
step:239/1530 train_time:77221ms step_avg:323.10ms
step:240/1530 train_time:77545ms step_avg:323.10ms
step:241/1530 train_time:77867ms step_avg:323.10ms
step:242/1530 train_time:78191ms step_avg:323.10ms
step:243/1530 train_time:78515ms step_avg:323.11ms
step:244/1530 train_time:78839ms step_avg:323.11ms
step:245/1530 train_time:79163ms step_avg:323.11ms
step:246/1530 train_time:79485ms step_avg:323.11ms
step:247/1530 train_time:79808ms step_avg:323.11ms
step:248/1530 train_time:80131ms step_avg:323.11ms
step:249/1530 train_time:80454ms step_avg:323.11ms
step:250/1530 train_time:80779ms step_avg:323.11ms
step:250/1530 val_loss[approx]:4.4736npt val_loss[exact]:1.4150bpb val_acc:18.41% train_time:80842ms step_avg:323.37ms
step:251/1530 train_time:81102ms step_avg:323.11ms
step:252/1530 train_time:81422ms step_avg:323.10ms
step:253/1530 train_time:81744ms step_avg:323.10ms
step:254/1530 train_time:82068ms step_avg:323.10ms
step:255/1530 train_time:82391ms step_avg:323.10ms
step:256/1530 train_time:82714ms step_avg:323.10ms
step:257/1530 train_time:83037ms step_avg:323.10ms
step:258/1530 train_time:83359ms step_avg:323.10ms
step:259/1530 train_time:83680ms step_avg:323.09ms
step:260/1530 train_time:84002ms step_avg:323.08ms
step:261/1530 train_time:84322ms step_avg:323.07ms
step:262/1530 train_time:84643ms step_avg:323.06ms
step:263/1530 train_time:84966ms step_avg:323.06ms
step:264/1530 train_time:85289ms step_avg:323.06ms
step:265/1530 train_time:85613ms step_avg:323.07ms
step:266/1530 train_time:85935ms step_avg:323.07ms
step:267/1530 train_time:86258ms step_avg:323.06ms
step:268/1530 train_time:86579ms step_avg:323.06ms
step:269/1530 train_time:86900ms step_avg:323.05ms
step:270/1530 train_time:87221ms step_avg:323.04ms
step:271/1530 train_time:87542ms step_avg:323.03ms
step:272/1530 train_time:87862ms step_avg:323.02ms
step:273/1530 train_time:88185ms step_avg:323.02ms
step:274/1530 train_time:88505ms step_avg:323.01ms
step:275/1530 train_time:88828ms step_avg:323.01ms
step:276/1530 train_time:89151ms step_avg:323.01ms
step:277/1530 train_time:89473ms step_avg:323.01ms
step:278/1530 train_time:89796ms step_avg:323.01ms
step:279/1530 train_time:90118ms step_avg:323.00ms
step:280/1530 train_time:90439ms step_avg:323.00ms
step:281/1530 train_time:90760ms step_avg:322.99ms
step:282/1530 train_time:91081ms step_avg:322.98ms
step:283/1530 train_time:91401ms step_avg:322.97ms
step:284/1530 train_time:91721ms step_avg:322.96ms
step:285/1530 train_time:92043ms step_avg:322.96ms
step:286/1530 train_time:92364ms step_avg:322.95ms
step:287/1530 train_time:92686ms step_avg:322.95ms
step:288/1530 train_time:93008ms step_avg:322.94ms
step:289/1530 train_time:93331ms step_avg:322.94ms
step:290/1530 train_time:93652ms step_avg:322.94ms
step:291/1530 train_time:93975ms step_avg:322.94ms
step:292/1530 train_time:94296ms step_avg:322.93ms
step:293/1530 train_time:94618ms step_avg:322.93ms
step:294/1530 train_time:94939ms step_avg:322.92ms
step:295/1530 train_time:95260ms step_avg:322.92ms
step:296/1530 train_time:95580ms step_avg:322.90ms
step:297/1530 train_time:95901ms step_avg:322.90ms
step:298/1530 train_time:96222ms step_avg:322.89ms
step:299/1530 train_time:96541ms step_avg:322.88ms
step:300/1530 train_time:96861ms step_avg:322.87ms
step:301/1530 train_time:97183ms step_avg:322.87ms
step:302/1530 train_time:97502ms step_avg:322.85ms
step:303/1530 train_time:97824ms step_avg:322.85ms
step:304/1530 train_time:98144ms step_avg:322.84ms
step:305/1530 train_time:98465ms step_avg:322.84ms
step:306/1530 train_time:98786ms step_avg:322.83ms
step:307/1530 train_time:99108ms step_avg:322.83ms
step:308/1530 train_time:99430ms step_avg:322.82ms
step:309/1530 train_time:99753ms step_avg:322.82ms
step:310/1530 train_time:100076ms step_avg:322.83ms
step:311/1530 train_time:100395ms step_avg:322.81ms
step:312/1530 train_time:100717ms step_avg:322.81ms
step:313/1530 train_time:101037ms step_avg:322.80ms
step:314/1530 train_time:101358ms step_avg:322.80ms
step:315/1530 train_time:101679ms step_avg:322.79ms
step:316/1530 train_time:101999ms step_avg:322.78ms
step:317/1530 train_time:102320ms step_avg:322.78ms
step:318/1530 train_time:102640ms step_avg:322.77ms
step:319/1530 train_time:102961ms step_avg:322.76ms
step:320/1530 train_time:103280ms step_avg:322.75ms
step:321/1530 train_time:103601ms step_avg:322.75ms
step:322/1530 train_time:103921ms step_avg:322.74ms
step:323/1530 train_time:104241ms step_avg:322.73ms
step:324/1530 train_time:104562ms step_avg:322.72ms
step:325/1530 train_time:104883ms step_avg:322.72ms
step:326/1530 train_time:105201ms step_avg:322.70ms
step:327/1530 train_time:105522ms step_avg:322.70ms
step:328/1530 train_time:105842ms step_avg:322.69ms
step:329/1530 train_time:106162ms step_avg:322.68ms
step:330/1530 train_time:106482ms step_avg:322.67ms
step:331/1530 train_time:106803ms step_avg:322.67ms
step:332/1530 train_time:107124ms step_avg:322.66ms
step:333/1530 train_time:107443ms step_avg:322.65ms
step:334/1530 train_time:107762ms step_avg:322.64ms
step:335/1530 train_time:108082ms step_avg:322.63ms
step:336/1530 train_time:108402ms step_avg:322.62ms
step:337/1530 train_time:108722ms step_avg:322.62ms
step:338/1530 train_time:109041ms step_avg:322.61ms
step:339/1530 train_time:109361ms step_avg:322.60ms
step:340/1530 train_time:109681ms step_avg:322.59ms
step:341/1530 train_time:110001ms step_avg:322.58ms
step:342/1530 train_time:110321ms step_avg:322.58ms
step:343/1530 train_time:110640ms step_avg:322.57ms
step:344/1530 train_time:110959ms step_avg:322.56ms
step:345/1530 train_time:111280ms step_avg:322.55ms
step:346/1530 train_time:111600ms step_avg:322.54ms
step:347/1530 train_time:111920ms step_avg:322.54ms
step:348/1530 train_time:112239ms step_avg:322.53ms
step:349/1530 train_time:112560ms step_avg:322.52ms
step:350/1530 train_time:112880ms step_avg:322.51ms
step:351/1530 train_time:113199ms step_avg:322.51ms
step:352/1530 train_time:113519ms step_avg:322.50ms
step:353/1530 train_time:113840ms step_avg:322.49ms
step:354/1530 train_time:114159ms step_avg:322.48ms
step:355/1530 train_time:114480ms step_avg:322.48ms
