root@db4c43576df5:/modded-nanogpt# uv  run torchrun --standalone --nproc_per_node=1 train_gpt.py
[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:02<00:00,  1.90it/s]
Download complete: : 812MB [00:02, 429MB/s]                                                                                                                             logs/e504b0a7-96bd-469a-8d18-a35e8eb0d6a4.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Download complete: : 812MB [00:10, 81.2MB/s]

Resetting Model
step:0/1480 val_loss:10.8282 train_time:0ms step_avg:0.03ms
step:109/1480 train_time:38227ms step_avg:350.70ms
step:110/1480 train_time:38577ms step_avg:350.70ms
step:111/1480 train_time:38930ms step_avg:350.72ms
step:112/1480 train_time:39283ms step_avg:350.75ms
step:113/1480 train_time:39634ms step_avg:350.74ms
step:114/1480 train_time:39986ms step_avg:350.76ms
step:115/1480 train_time:40340ms step_avg:350.78ms
step:116/1480 train_time:40691ms step_avg:350.79ms
step:117/1480 train_time:41045ms step_avg:350.82ms
step:118/1480 train_time:41398ms step_avg:350.83ms
step:119/1480 train_time:41750ms step_avg:350.84ms
step:120/1480 train_time:42104ms step_avg:350.87ms
step:121/1480 train_time:42456ms step_avg:350.88ms
step:122/1480 train_time:42808ms step_avg:350.89ms
step:123/1480 train_time:43163ms step_avg:350.92ms
step:124/1480 train_time:43514ms step_avg:350.92ms
step:125/1480 train_time:43868ms step_avg:350.95ms
step:126/1480 train_time:44221ms step_avg:350.96ms
step:127/1480 train_time:44574ms step_avg:350.97ms
step:128/1480 train_time:44926ms step_avg:350.99ms
step:129/1480 train_time:45282ms step_avg:351.02ms
step:130/1480 train_time:45632ms step_avg:351.02ms
step:131/1480 train_time:45988ms step_avg:351.05ms
step:132/1480 train_time:46341ms step_avg:351.06ms
step:133/1480 train_time:46692ms step_avg:351.07ms
step:134/1480 train_time:47045ms step_avg:351.08ms
step:135/1480 train_time:47401ms step_avg:351.12ms
step:136/1480 train_time:47751ms step_avg:351.11ms
step:137/1480 train_time:48106ms step_avg:351.14ms
step:138/1480 train_time:48458ms step_avg:351.15ms
step:139/1480 train_time:48814ms step_avg:351.18ms
step:140/1480 train_time:49167ms step_avg:351.20ms
step:141/1480 train_time:49522ms step_avg:351.22ms
step:142/1480 train_time:49875ms step_avg:351.23ms
step:143/1480 train_time:50230ms step_avg:351.26ms
step:144/1480 train_time:50583ms step_avg:351.27ms
step:145/1480 train_time:50937ms step_avg:351.29ms
step:146/1480 train_time:51289ms step_avg:351.30ms
step:147/1480 train_time:51646ms step_avg:351.33ms
step:148/1480 train_time:51999ms step_avg:351.34ms
step:149/1480 train_time:52353ms step_avg:351.36ms
step:150/1480 train_time:52708ms step_avg:351.39ms
step:151/1480 train_time:53063ms step_avg:351.41ms
step:152/1480 train_time:53414ms step_avg:351.41ms
step:153/1480 train_time:53769ms step_avg:351.43ms
step:154/1480 train_time:54122ms step_avg:351.44ms
step:155/1480 train_time:54477ms step_avg:351.46ms
step:156/1480 train_time:54829ms step_avg:351.47ms
step:157/1480 train_time:55184ms step_avg:351.49ms
step:158/1480 train_time:55537ms step_avg:351.50ms
step:159/1480 train_time:55892ms step_avg:351.52ms
step:160/1480 train_time:56244ms step_avg:351.53ms
step:161/1480 train_time:56599ms step_avg:351.54ms
step:162/1480 train_time:56952ms step_avg:351.55ms
step:163/1480 train_time:57307ms step_avg:351.57ms
step:164/1480 train_time:57661ms step_avg:351.59ms
step:165/1480 train_time:58015ms step_avg:351.61ms
step:166/1480 train_time:58370ms step_avg:351.63ms
step:167/1480 train_time:58725ms step_avg:351.65ms
step:168/1480 train_time:59077ms step_avg:351.65ms
step:169/1480 train_time:59432ms step_avg:351.67ms
step:170/1480 train_time:59786ms step_avg:351.68ms
step:171/1480 train_time:60140ms step_avg:351.70ms
step:172/1480 train_time:60493ms step_avg:351.70ms
step:173/1480 train_time:60850ms step_avg:351.73ms
step:174/1480 train_time:61202ms step_avg:351.74ms
step:175/1480 train_time:61557ms step_avg:351.76ms
step:176/1480 train_time:61912ms step_avg:351.77ms
step:177/1480 train_time:62266ms step_avg:351.78ms
step:178/1480 train_time:62619ms step_avg:351.79ms
step:179/1480 train_time:62973ms step_avg:351.81ms
step:180/1480 train_time:63325ms step_avg:351.81ms
step:181/1480 train_time:63680ms step_avg:351.83ms
step:182/1480 train_time:64032ms step_avg:351.83ms
step:183/1480 train_time:64388ms step_avg:351.85ms
step:184/1480 train_time:64744ms step_avg:351.87ms
step:185/1480 train_time:65097ms step_avg:351.87ms
step:186/1480 train_time:65450ms step_avg:351.88ms
